<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
EUR_RUB__TOM;D;20220425;000000;77.1575000;591670000
EUR_RUB__TOM;D;20220426;000000;76.8300000;505282000
EUR_RUB__TOM;D;20220427;000000;75.3075000;945335000
EUR_RUB__TOM;D;20220428;000000;75.3725000;409785000
EUR_RUB__TOM;D;20220429;000000;74.7500000;720566000
EUR_RUB__TOM;D;20220504;000000;70.4425000;277085000
EUR_RUB__TOM;D;20220505;000000;70.1500000;406358000
EUR_RUB__TOM;D;20220506;000000;73.2500000;439155000
EUR_RUB__TOM;D;20220511;000000;70.5000000;383765000
EUR_RUB__TOM;D;20220512;000000;65.2575000;401989000
EUR_RUB__TOM;D;20220513;000000;67.1500000;424824000
EUR_RUB__TOM;D;20220516;000000;65.7975000;436338000
EUR_RUB__TOM;D;20220517;000000;67.0575000;629892000
EUR_RUB__TOM;D;20220518;000000;66.7000000;803881000
EUR_RUB__TOM;D;20220519;000000;64.4025000;1736139000
EUR_RUB__TOM;D;20220520;000000;62.8000000;1752355000
EUR_RUB__TOM;D;20220523;000000;60.1000000;2490284000
EUR_RUB__TOM;D;20220524;000000;58.5500000;1743288000
EUR_RUB__TOM;D;20220525;000000;60.6275000;2308555000
EUR_RUB__TOM;D;20220526;000000;68.0025000;1291046000
EUR_RUB__TOM;D;20220527;000000;69.6900000;1823092000
EUR_RUB__TOM;D;20220530;000000;64.3025000;2241497000
EUR_RUB__TOM;D;20220531;000000;62.3250000;2455293000
EUR_RUB__TOM;D;20220601;000000;64.3800000;1125707000
EUR_RUB__TOM;D;20220602;000000;65.5550000;857898000
EUR_RUB__TOM;D;20220603;000000;64.7475000;1027707000
EUR_RUB__TOM;D;20220606;000000;65.1000000;1061078000
EUR_RUB__TOM;D;20220607;000000;65.6000000;959654000
EUR_RUB__TOM;D;20220608;000000;63.5900000;1172785000
EUR_RUB__TOM;D;20220609;000000;63.3000000;1109260000
EUR_RUB__TOM;D;20220610;000000;60.1000000;1095683000
EUR_RUB__TOM;D;20220614;000000;59.1500000;1018651000
EUR_RUB__TOM;D;20220615;000000;59.7950000;656902000
EUR_RUB__TOM;D;20220616;000000;59.0100000;901820000
EUR_RUB__TOM;D;20220617;000000;58.8625000;876483000
EUR_RUB__TOM;D;20220620;000000;58.8475000;622158000
EUR_RUB__TOM;D;20220621;000000;56.2600000;995133000
EUR_RUB__TOM;D;20220622;000000;56.4250000;689053000
EUR_RUB__TOM;D;20220623;000000;56.2025000;618255000
EUR_RUB__TOM;D;20220624;000000;56.0725000;779099000
EUR_RUB__TOM;D;20220627;000000;56.2975000;1006800000
EUR_RUB__TOM;D;20220628;000000;54.5500000;877988000
EUR_RUB__TOM;D;20220629;000000;56.0000000;1128071000
EUR_RUB__TOM;D;20220630;000000;53.6875000;875618000
EUR_RUB__TOM;D;20220701;000000;56.5400000;852856000
EUR_RUB__TOM;D;20220704;000000;57.7500000;931037000
EUR_RUB__TOM;D;20220705;000000;63.6000000;900358000
EUR_RUB__TOM;D;20220706;000000;64.7700000;782977000
EUR_RUB__TOM;D;20220707;000000;63.6000000;694081000
EUR_RUB__TOM;D;20220708;000000;62.3500000;719414000
EUR_RUB__TOM;D;20220711;000000;59.2275000;720224000
EUR_RUB__TOM;D;20220712;000000;59.4625000;1027700000
EUR_RUB__TOM;D;20220713;000000;59.0975000;1359366000
EUR_RUB__TOM;D;20220714;000000;58.7500000;800644000
EUR_RUB__TOM;D;20220715;000000;57.9600000;753803000
EUR_RUB__TOM;D;20220718;000000;57.1500000;847244000
EUR_RUB__TOM;D;20220719;000000;56.5950000;1032179000
EUR_RUB__TOM;D;20220720;000000;56.3300000;687533000
EUR_RUB__TOM;D;20220721;000000;57.2475000;1320428000
EUR_RUB__TOM;D;20220722;000000;58.3025000;709872000
EUR_RUB__TOM;D;20220725;000000;59.2150000;826081000
EUR_RUB__TOM;D;20220726;000000;61.6800000;882588000
EUR_RUB__TOM;D;20220727;000000;60.7300000;963895000
EUR_RUB__TOM;D;20220728;000000;61.7650000;1062964000
EUR_RUB__TOM;D;20220729;000000;62.4700000;1018426000
EUR_RUB__TOM;D;20220801;000000;61.8725000;980420000
EUR_RUB__TOM;D;20220802;000000;61.2525000;950762000
EUR_RUB__TOM;D;20220803;000000;60.9800000;905167000
EUR_RUB__TOM;D;20220804;000000;61.5000000;1033874000
EUR_RUB__TOM;D;20220805;000000;61.5400000;1255478000
EUR_RUB__TOM;D;20220808;000000;62.2000000;1297246000
EUR_RUB__TOM;D;20220809;000000;61.6425000;890393000
EUR_RUB__TOM;D;20220810;000000;62.7525000;852739000
EUR_RUB__TOM;D;20220811;000000;62.6125000;938607000
EUR_RUB__TOM;D;20220812;000000;62.3100000;1046939000
EUR_RUB__TOM;D;20220815;000000;62.3500000;1110124000
EUR_RUB__TOM;D;20220816;000000;62.1175000;1615608000
EUR_RUB__TOM;D;20220817;000000;61.6650000;1361266000
EUR_RUB__TOM;D;20220818;000000;60.1800000;1228225000
EUR_RUB__TOM;D;20220819;000000;59.6025000;844184000
EUR_RUB__TOM;D;20220822;000000;59.4825000;1071759000
EUR_RUB__TOM;D;20220823;000000;59.5800000;943632000
EUR_RUB__TOM;D;20220824;000000;59.5125000;635582000
EUR_RUB__TOM;D;20220825;000000;59.9050000;847481000
EUR_RUB__TOM;D;20220826;000000;60.6500000;727164000
EUR_RUB__TOM;D;20220829;000000;60.4250000;651752000
EUR_RUB__TOM;D;20220830;000000;60.0000000;936657000
EUR_RUB__TOM;D;20220831;000000;60.4500000;768946000
EUR_RUB__TOM;D;20220901;000000;59.8950000;696398000
EUR_RUB__TOM;D;20220902;000000;60.8350000;834680000
